"gene","module"
"FBXO33","blue"
"TXNDC16","blue"
"DCAF5","blue"
"AREL1","blue"
"FOS","blue"
"THBS1","blue"
"BAHD1","blue"
"NUSAP1","blue"
"SNAP23","blue"
"FBN1","blue"
"PYGO1","blue"
"MAP2K5","blue"
"UACA","blue"
"DNAJA4","blue"
"RASGRF1","blue"
"RPL3L","blue"
"PPL","blue"
"ATF7IP2","blue"
"SNX29","blue"
"HS3ST2","blue"
"ZKSCAN2","blue"
"NSMCE1","blue"
"MYLK3","blue"
"ITFG1","blue"
"ADCY7","blue"
"CYLD","blue"
"CBFB","blue"
"PLCG2","blue"
"SLC38A8","blue"
"CRISPLD2","blue"
"FBXO31","blue"
"PIEZO1","blue"
"CDH15","blue"
"PAFAH1B1","blue"
"GP1BA","blue"
"TMEM95","blue"
"ALOXE3","blue"
"PIK3R6","blue"
"GSG1L2","blue"
"ALKBH5","blue"
"MTRNR2L1","blue"
"CPD","blue"
"TAF15","blue"
"GPATCH8","blue"
"GFAP","blue"
"C17orf67","blue"
"AXIN2","blue"
"KCNJ2","blue"
"SOX9","blue"
"DNAH17","blue"
"OGFOD3","blue"
"FOXK2","blue"
"NDC80","blue"
"MYOM1","blue"
"MYL12A","blue"
"ABHD3","blue"
"MIB1","blue"
"OSBPL1A","blue"
"MAPRE2","blue"
"SYT4","blue"
"SMAD7","blue"
"MYO5B","blue"
"RNF152","blue"
"TNFRSF11A","blue"
"ZNF516","blue"
"NFATC1","blue"
"SNAP25","blue"
"DOK5","blue"
"LAMA5","blue"
"NTSR1","blue"
"ZBTB46","blue"
"ARID3A","blue"
"MIDN","blue"
"MKNK2","blue"
"JSRP1","blue"
"TMPRSS9","blue"
"HMG20B","blue"
"GIPC3","blue"
"APBA3","blue"
"FEM1A","blue"
"C3","blue"
"CAMSAP3","blue"
"MUC16","blue"
"COL5A3","blue"
"TYK2","blue"
"CDC37","blue"
"LDLR","blue"
"RGL3","blue"
"ZNF823","blue"
"JUNB","blue"
"DNAJB1","blue"
"TPM4","blue"
"NWD1","blue"
"CPAMD8","blue"
"MYO9B","blue"
"KCNN1","blue"
"TMEM161A","blue"
"RHPN2","blue"
"CHST8","blue"
"HPN","blue"
"NPHS1","blue"
"NFKBID","blue"
"ZNF565","blue"
"ZNF571","blue"
"ZFP36","blue"
"FOSB","blue"
"ELSPBP1","blue"
"DHDH","blue"
"FCGRT","blue"
"ZNF331","blue"
"DPRX","blue"
"DNAAF3","blue"
"BID","blue"
"PI4KA","blue"
"TPST2","blue"
"CRYBA4","blue"
"MN1","blue"
"RNF185","blue"
"HMOX1","blue"
"CSDC2","blue"
"PHF21B","blue"
"ATXN10","blue"
"TTLL8","blue"
"ADAMTS1","blue"
"HUNK","blue"
"TTC3","blue"
"BRWD1","blue"
"SLC19A1","blue"
"C2orf66","blue"
"AREG","blue"
"FHL5","blue"
"NPAS4","blue"
"MMP12","blue"
"VWA1","yellow"
"PADI2","yellow"
"CLIC4","yellow"
"MARCKSL1","yellow"
"RNF220","yellow"
"EPS15","yellow"
"CYP2J2","yellow"
